=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
1061, 0, 4, 
1063, 0, 1, 
1065, 0, 0, 
1068, 4, 1, 
1070, 1, 0, 
1072, 0, 9, 
1074, 0, 1, 
1076, 0, 0, 
1078, 0, 0, 
1080, 0, 0, 
1082, 0, 0, 
1084, 0, 0, 
1086, 0, 0, 
1088, 25, 1, 
1090, 25, 9, 
1092, 4, 4, 
1094, 25, 9, 
1096, 9, 9, 
1098, 25, 1, 
1100, 0, 0, 
1102, 16, 0, 
1104, 49, 9, 
1106, 49, 0, 
1108, 121, 16, 
1111, 1, 0, 
1113, 16, 4, 
1115, 0, 1, 
1117, 0, 0, 
1119, 1, 0, 
1121, 0, 4, 
1123, 1, 0, 
1125, 0, 1, 
1127, 1, 0, 
1129, 1, 1, 
1132, 0, 0, 
1134, 4, 0, 
1136, 49, 1, 
1138, 49, 1, 
1140, 9, 0, 
1142, 16, 1, 
1144, 36, 0, 
1146, 4, 1, 
1148, 0, 1, 
1150, 1, 0, 
1153, 25, 1, 
1155, 81, 9, 
1157, 121, 1, 
1159, 0, 0, 
1161, 81, 1, 
1163, 36, 4, 
1165, 25, 1, 
1167, 9, 1, 
1169, 4, 1, 
1171, 9, 0, 
1173, 4, 1, 
1175, 0, 0, 
1177, 0, 0, 
1179, 1, 1, 
1181, 16, 0, 
1183, 25, 1, 
1185, 9, 1, 
1187, 0, 4, 
1189, 4, 4, 
1191, 0, 1, 
1193, 1, 1, 
1196, 0, 1, 
1198, 0, 0, 
1200, 1, 0, 
1202, 9, 1, 
1204, 0, 0, 
1206, 9, 1, 
1208, 9, 0, 
1210, 0, 0, 
1213, 49, 0, 
1215, 144, 4, 
1217, 4, 0, 
1219, 36, 4, 
1221, 25, 0, 
1223, 16, 4, 
1225, 36, 1, 
1227, 4, 1, 
1229, 25, 4, 
1231, 36, 0, 
1233, 0, 0, 
1235, 16, 0, 
1238, 4, 0, 
1240, 1, 4, 
1242, 4, 0, 
1244, 4, 4, 
1246, 4, 0, 
1248, 25, 1, 
1250, 1, 0, 
1252, 25, 0, 
1254, 4, 0, 
1256, 4, 0, 
1258, 0, 0, 
1260, 0, 0, 
1262, 1, 0, 
1264, 0, 0, 
1266, 0, 0, 
1268, 0, 1, 
1270, 4, 0, 
1272, 0, 0, 
1274, 25, 0, 
1276, 100, 1, 
1278, 4, 0, 
1281, 121, 16, 
1283, 0, 4, 
1285, 25, 1, 
1287, 4, 0, 
1289, 4, 1, 
1291, 25, 0, 
1293, 16, 0, 
1295, 0, 1, 
1297, 1, 0, 
1300, 49, 1, 
1302, 4, 1, 
1304, 100, 4, 
1306, 25, 16, 
1308, 1, 0, 
1310, 1, 0, 
1312, 16, 1, 
1314, 4, 4, 
1316, 25, 0, 
1318, 4, 0, 
1320, 1, 0, 
1323, 0, 1, 
1325, 1, 0, 
1327, 9, 0, 
1329, 25, 4, 
1331, 9, 1, 
1333, 9, 1, 
1335, 9, 0, 
1337, 0, 0, 
1339, 9, 0, 
1341, 1, 0, 
1343, 0, 1, 
1345, 1, 0, 
1347, 1, 0, 
