=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 16:52:51 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_R
0,  0, 
1293, 0, 0, 
1295, 1, 1, 
1297, 0, 0, 
1299, 0, 0, 
1301, 0, 1, 
1303, 0, 0, 
1305, 0, 1, 
1307, 0, 0, 
1309, 0, 1, 
1311, 0, 0, 
1313, 1, 0, 
1315, 4, 0, 
1317, 0, 0, 
1319, 0, 0, 
1321, 1, 0, 
1324, 0, 1, 
1326, 81, 0, 
1328, 36, 1, 
1330, 784, 16, 
1332, 576, 1, 
1334, 361, 100, 
1336, 529, 1, 
1338, 169, 36, 
1340, 121, 169, 
1342, 25, 1, 
1344, 0, 49, 
1346, 16, 9, 
1348, 9, 1, 
1350, 1, 36, 
1352, 4, 0, 
1354, 4, 9, 
1356, 1, 9, 
1358, 0, 4, 
1360, 4, 16, 
1362, 25, 0, 
1364, 36, 4, 
1367, 36, 9, 
1369, 36, 1, 
1372, 1156, 49, 
1374, 0, 25, 
1376, 361, 49, 
1378, 121, 0, 
1380, 36, 25, 
1382, 25, 100, 
1384, 4, 1, 
1386, 16, 25, 
1388, 36, 36, 
1390, 1, 0, 
1392, 9, 16, 
1394, 16, 0, 
1396, 0, 4, 
1398, 16, 4, 
1400, 4, 0, 
1402, 49, 9, 
1404, 36, 4, 
1406, 625, 0, 
1409, 121, 64, 
1411, 289, 1, 
1413, 36, 25, 
1415, 1, 36, 
1417, 1, 0, 
1419, 9, 9, 
1421, 36, 4, 
1423, 16, 1, 
1425, 289, 25, 
1427, 1, 4, 
1429, 900, 25, 
1431, 1156, 49, 
1433, 361, 1, 
1435, 625, 25, 
1437, 900, 9, 
1439, 4, 64, 
1441, 9, 16, 
1443, 49, 4, 
1445, 25, 16, 
1447, 144, 36, 
1449, 0, 9, 
1452, 100, 9, 
1454, 36, 4, 
1456, 1, 4, 
1458, 36, 1, 
1460, 0, 4, 
1462, 25, 1, 
1464, 1, 9, 
1466, 4, 1, 
1469, 16, 1, 
1471, 225, 1, 
1473, 324, 1, 
1475, 144, 16, 
1477, 225, 0, 
1479, 25, 9, 
1481, 9, 25, 
